2024-08-01 00:37:07,321 - Dataset Number: 3
2024-08-01 00:37:07,321 - Number of sampe data: None
2024-08-01 00:37:07,321 - Mode: True
2024-08-01 00:37:07,321 - Test Model lists: [1, 2, 3, 4, 11, 12, 13, 14, 15, 16]
2024-08-01 00:37:07,321 - NUM_EPOCHS: 10
2024-08-01 00:37:07,321 - BATCH_SIZE: 32
2024-08-01 00:37:07,321 - LEARNING_RATE: 0.001
2024-08-01 00:37:07,321 - Evaluating Model Type: 1
2024-08-01 01:06:31,772 - weighted Loss Type: True
2024-08-01 01:06:44,855 - Label 68 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:44,855 - Label 69 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:44,856 - Label 70 R2 Score: -0.0052, MSE: 0.0049
2024-08-01 01:06:44,856 - Epoch [1/10], Loss: 0.0006, Val Loss: 0.0016, R2 Score: 0.2432
2024-08-01 01:06:57,508 - Label 0 R2 Score: -0.0377, MSE: 0.0361
2024-08-01 01:06:57,509 - Label 1 R2 Score: -0.0005, MSE: 0.0005
2024-08-01 01:06:57,510 - Label 2 R2 Score: -0.0002, MSE: 0.0002
2024-08-01 01:06:57,511 - Label 3 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:57,511 - Label 4 R2 Score: -0.0016, MSE: 0.0016
2024-08-01 01:06:57,512 - Label 5 R2 Score: -0.0014, MSE: 0.0014
2024-08-01 01:06:57,513 - Label 6 R2 Score: -0.0113, MSE: 0.0092
2024-08-01 01:06:57,513 - Label 7 R2 Score: -0.0144, MSE: 0.0092
2024-08-01 01:06:57,514 - Label 8 R2 Score: -0.0034, MSE: 0.0013
2024-08-01 01:06:57,515 - Label 9 R2 Score: -0.1018, MSE: 0.0769
2024-08-01 01:06:57,515 - Label 10 R2 Score: -0.0009, MSE: 0.0009
2024-08-01 01:06:57,516 - Label 11 R2 Score: -0.0256, MSE: 0.0250
2024-08-01 01:06:57,517 - Label 12 R2 Score: -0.0251, MSE: 0.0245
2024-08-01 01:06:57,517 - Label 13 R2 Score: -0.0069, MSE: 0.0055
2024-08-01 01:06:57,518 - Label 14 R2 Score: -0.0031, MSE: 0.0016
2024-08-01 01:06:57,519 - Label 15 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:57,519 - Label 16 R2 Score: -0.0020, MSE: 0.0019
2024-08-01 01:06:57,520 - Label 17 R2 Score: -0.0193, MSE: 0.0164
2024-08-01 01:06:57,521 - Label 18 R2 Score: -0.0882, MSE: 0.0507
2024-08-01 01:06:57,521 - Label 19 R2 Score: -0.0085, MSE: 0.0083
2024-08-01 01:06:57,522 - Label 20 R2 Score: -0.0094, MSE: 0.0090
2024-08-01 01:06:57,523 - Label 21 R2 Score: -0.0005, MSE: 0.0005
2024-08-01 01:06:57,523 - Label 22 R2 Score: -0.0009, MSE: 0.0007
2024-08-01 01:06:57,524 - Label 23 R2 Score: -0.0005, MSE: 0.0005
2024-08-01 01:06:57,525 - Label 24 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:57,525 - Label 25 R2 Score: -0.0026, MSE: 0.0021
2024-08-01 01:06:57,526 - Label 26 R2 Score: -0.0005, MSE: 0.0005
2024-08-01 01:06:57,526 - Label 27 R2 Score: -0.0534, MSE: 0.0499
2024-08-01 01:06:57,527 - Label 28 R2 Score: -0.0313, MSE: 0.0271
2024-08-01 01:06:57,527 - Label 29 R2 Score: -0.0015, MSE: 0.0013
2024-08-01 01:06:57,528 - Label 30 R2 Score: -0.0092, MSE: 0.0086
2024-08-01 01:06:57,528 - Label 31 R2 Score: -0.0083, MSE: 0.0067
2024-08-01 01:06:57,529 - Label 32 R2 Score: -0.0102, MSE: 0.0092
2024-08-01 01:06:57,529 - Label 33 R2 Score: -0.0056, MSE: 0.0052
2024-08-01 01:06:57,529 - Label 34 R2 Score: -0.0579, MSE: 0.0508
2024-08-01 01:06:57,529 - Label 35 R2 Score: -0.0367, MSE: 0.0351
2024-08-01 01:06:57,530 - Label 36 R2 Score: -0.0792, MSE: 0.0724
2024-08-01 01:06:57,530 - Label 37 R2 Score: -0.0192, MSE: 0.0163
2024-08-01 01:06:57,531 - Label 38 R2 Score: -0.0073, MSE: 0.0047
2024-08-01 01:06:57,531 - Label 39 R2 Score: -0.0045, MSE: 0.0042
2024-08-01 01:06:57,532 - Label 40 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:57,532 - Label 41 R2 Score: -0.0083, MSE: 0.0082
2024-08-01 01:06:57,532 - Label 42 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:57,533 - Label 43 R2 Score: -0.0860, MSE: 0.0561
2024-08-01 01:06:57,533 - Label 44 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:57,534 - Label 45 R2 Score: -0.0928, MSE: 0.0848
2024-08-01 01:06:57,534 - Label 46 R2 Score: -0.7530, MSE: 0.3898
2024-08-01 01:06:57,535 - Label 47 R2 Score: -0.0238, MSE: 0.0228
2024-08-01 01:06:57,535 - Label 48 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:57,535 - Label 49 R2 Score: -0.0023, MSE: 0.0023
2024-08-01 01:06:57,536 - Label 50 R2 Score: -0.0106, MSE: 0.0105
2024-08-01 01:06:57,536 - Label 51 R2 Score: -0.0004, MSE: 0.0003
2024-08-01 01:06:57,537 - Label 52 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:57,537 - Label 53 R2 Score: -0.0016, MSE: 0.0016
2024-08-01 01:06:57,538 - Label 54 R2 Score: -0.0500, MSE: 0.0476
2024-08-01 01:06:57,538 - Label 55 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:57,538 - Label 56 R2 Score: -0.0043, MSE: 0.0041
2024-08-01 01:06:57,539 - Label 57 R2 Score: -0.0045, MSE: 0.0022
2024-08-01 01:06:57,539 - Label 58 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:57,540 - Label 59 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:57,540 - Label 60 R2 Score: -0.0004, MSE: 0.0003
2024-08-01 01:06:57,541 - Label 61 R2 Score: 1.0000, MSE: 0.0000
2024-08-01 01:06:57,541 - Label 62 R2 Score: 1.0000, MSE: 0.0000
